,INPUT:id,OUTPUT:result,latex
941,951,пэ от эф равно нулю,p(f)=0
942,952,эс по эн минус эс по эм меньше или равно а по эм,S_{n}-S_{m}\leq a_{m}
943,953,ка разделить на ку,K/\mathbb {Q} 
944,954,а по вэ в степени икс,A_{v}^{\times }
945,955,ка джи минус один,"(k,j-1)"
946,956,пэ принадлежит множеству пэ один пэ энное,"p\in \{p_{1},\ldots ,p_{n}\}"
947,957,эм разделить на л разделить на ка,"M/L/K,"
948,958,период пэ,|\cdot |_{\mathfrak {p}}
949,959,алеф нуль равно омега,\aleph _{0}=\omega 
950,1020,икс минус скобка открывается ю лямбда запятая и плюс эм скобка закрывается запятая ,"x-(u_{\lambda ,i}+M),"
951,1021,тэ ка,T_{k}
952,1022,е плюс цэ равно что восемьдесят ,e+c=180
953,1023,дельта а равно а эф а ноль в минус первой степени ,\Delta A=A_{f}A_{0}^{-1}
954,1024,лимит икс стремится к пэ эф скобка открывается икс скобка закрывается равно эль,\lim _{x\to p^{-}}f(x)=L
955,1025,эф скобка открывается икс скобка закрывается ,F(x)
956,1026,скобка открывается зет скобка закрывается в квадрате равно скобка открывается зет в квадрате скобка закрывается ,|z|^{2}=|z^{2}|
957,1027,эм плюс эн,m+n
958,1028,икс стремится к икс в минус первой степени ,x\mapsto x^{-1}
959,1029,один плюс один равно два,1+1=2
960,100,в скобках эф плюс джи умножить на икс равно эф от икс плюс джи от икс,(f+g)(x)=f(x)+g(x)
961,101,вэ меньше бесконечности,v<\infty .
962,102,о от икс игрек,"{\hat {o}}(x,y)"
963,103,и эр в икс,"\iota ,R^{\times }"
964,104,а плюс эм а икс от бэ цэ равно эм а икс от а плюс бэ а плюс цэ,"a+\max(b,c)=\max(a+b,a+c)."
965,105,эс от икс игрек,"s(x,y)"
966,106,пэ принадлежит зэд,p\in \mathbf {Z} 
967,107,и по ка эс,"I_{K,S}"
968,108,и плюс бэ на два минус один,i+{\frac {b}{2}}-1
969,109,эр,r
970,1290,ноль плюс один плюс один плюс один плюс множество равно ноль,0+1+1+1+\ldots =0
971,1291,эпсилон является элементом множества е большое,"\xi \in E,"
972,1292,абсолютная величина икс плюс асолютная величина игрек равно абсолютной величине икс у игрек,|X|+|Y|=|X\cup Y|.
973,1293,а большое равно ка большое,"A=K,"
974,1294,абсолютная величина а эн,|a_{n}|
975,1295,ноль запятая сто одинадцать равно один разделить на девять,0.111\ldots ={\frac {1}{9}}
976,1296,эпсилон,\varepsilon 
977,1297,ка икс в степени и равно ка икс разделить на эм большое,k_{x}^{i}={\frac {k_{x}}{M}}
978,1298,ипсилон в степени лямбда равно ка большое,\nu ^{\lambda }=\kappa 
979,1299,зэт целое число означает множество коммутатора дзэта эн,\mathbb {Z} [\zeta _{n}]
980,1060,ди по джи джи,"d_{j,j}"
981,1061,два умножить на два,2\times 2
982,1062,эр второе,r_{2}
983,1063,эн больше бэ минус а разделить на дельта от эпсилона,N>(b-a)/\delta (\varepsilon )
984,1064,эр а цэ ка по тэ два пи,rac {k_{T}}{2\pi }}
985,1065,эм разделить на эл разделить на ка,M/L/K
986,1066,фи,\varphi 
987,1067,дэ равно сто восемьдесят,d=180
988,1068,а а плюс эм а плюс два эм,"a,a+m,a+2m,\ldots "
989,1069,е принадлежит е,"e\in E,"
990,250,два в третьей степени не равно трём во второй степени ,2^{3}\neq 3^{2}
991,251,икс скобка открывается ю запятая вэ скобка закрывается ,"\mathbf {x} (u,v)"
992,252,эф скобка открывается икс скобка закрывается больше эн,f(x)>N
993,253,кей е эн,k\in \mathbb {N} 
994,254,и,I
995,255,икс больше нуля,x>0
996,256,игрик икс икс игрик икс ,YXXYX
997,257,один плюс два равно три,1+2=3
998,258,эф и равно эф и минус один скобка открывается икс и скобка закрывается ,F_{i}=F_{i-1}(x_{i})
999,259,эн,N
1000,940,эль равно произведению эр эм вэ,"L=rmv,"
1001,941,эм о дэ,mod
1002,942,эль в квадрате на тэ дэ моль,"L^{2}(T,d\mu )"
1003,943,ка в ай,k_{i}
1004,944,эф на произведение кэ а равно кэ эф на а,f(ka)=kf(a)
1005,945,у от эр тэ,"u(\mathbf {r} ,t)"
1006,946,эф на бэ минус эф на а,F(b)-F(a)
1007,947,модуль а и бэ,"[a,b]."
1008,948,минус а в эм меньше или равно разности эс в эн и эм,-a_{m}\leq S_{n}-S_{m}
1009,949,эр нулевое е в минус джи два пета альфа игрек,r_{0}e^{-j2\pi \alpha y}
1010,10,эс равно минус один,s=-1.
1011,11,зэд от пятнадцати,\mathbb {Z} _{15}
1012,12,эн больше или равно эм равносильно эм деленная на эн,"n\geq m\Leftrightarrow m|n,"
1013,13,вэ нулевое,\mathbf {v} _{0}
1014,14,вэ равно эр омега,"v=r\omega ,"
1015,15,тэ тангенс икс дэ икс,"t \tan x\,dx"
1016,16,эм умножить на скобки а энное плюс модуль а энного,m (a_{n}+|a_{n}|)
1017,17,множество а по а в икс,\mathbb {A} _{A}^{\times }.
1018,18,е принадлежит ка принадлежит эф,E\subseteq K\subseteq F
1019,19,вэ не равно вэ нулевое,v\neq v_{0}
1020,300,эс большое скобка открывается эр запятая ка скобка закрывается,"S(r,k)"
1021,301,один запятая два запятая три запятая четыре запятая шесть запятая восемь запятая двенадцать запятая двадцать четыре,"1,2,3,4,6,8,12,24"
1022,302,пэ большое нижний регистр бесконечность,P_{\infty }
1023,303,дель в квадрате,\nabla ^{2}
1024,304,икс первое не равно х второе,x_{1}\neq x_{2}
1025,305,ка больше или равно эн больше ноль,\quad k\geq n>0
1026,306,бэ равно скобка открывается бэ первое запятая бэ второе запятая троеточие запятая бэ энное скобка закрывается,"b=(b_{1},b_{2},\dots ,b_{n})"
1027,307,пэ большое надмножество пэ большое нижний регистр бесконечность,P\supset P_{\infty }.
1028,308,а запятая бэ принадлежит эф большое,"a,b\in F"
1029,309,произведение по вэ модуль а нижний регистр вэ равно один,\prod _{v}|a|_{v}=1.
1030,290,а ка точка,\mathbb {A} _{K}.
1031,291,ю скобка открывается икс скобка закрывается ,\psi (x)
1032,292,ка в степени икс точка,K^{\times }.
1033,293,а ка скобка открывается пэ скобка закрывается ,\mathbb {A} _{K}(P)
1034,294,цэ ноль равно лимит икс стремится к нулю цэ скобка икс скобка закрывается равно один,C_{0}=\lim _{x\to 0}c(x)=1
1035,295,ноль запятая ,"0,"
1036,296,скобка открывается а скобка закрывается вэ равно один ,|a|_{v}=1.
1037,297,эр в квадрате ,\mathbb {R} ^{2}
1038,298,и пэ эйч а и запятая бетта и скобка закрывается ,"lpha _{i},\beta _{i})"
1039,299,пэ скобка открывается икс скобка закрывается ,p(x)
1040,1070,цэ по ка меньше или равно ка,c_{k}\leq k
1041,1071,вэ от а равно нулю,v(a)=0
1042,1072,икс по и,"x_{i},"
1043,1073,вэ такой что бесконечность,v|\infty .
1044,1074,один плюс и,1+i
1045,1075,а от икс,A(x)
1046,1076,икс принадлежит эр,x\in \mathbb {R} ^{*}
1047,1077,а бета принадлежит и по ка,"\alpha ,\beta \in I_{K}."
1048,1078,бэ принадлежит множеству один два вэ,"b\in \{1,2,\ldots ,B\}"
1049,1079,игрек принадлежит икс,Y\subseteq X
1050,1280,икс в пятой минус икс минус один,x^{5}-x-1
1051,1281,а плюс скобка открывается сто восемьдесят,a+(180
1052,1282,множество икс икс принадлежит эр,"(x,x)\in R"
1053,1283,тангенс в квадрате а плюс один равно эс е цэ в квадрате а,\tan ^{2}A+1=\sec ^{2}A\ 
1054,1284,а по вэ принадлежит ка по вэ в икс,a_{w}\in K_{v}^{\times }
1055,1285,дельта по вэ больше нуля,\delta _{v}>0
1056,1286,зэд по ка бэ,"Z_{k,b}"
1057,1287,а по нулю,{\acute {A}}_{0}
1058,1288,икс игрек принадлежит а,"x,y\in A"
1059,1289,пэ от икс равно нулю,P(x)=0
1060,840,а скобка открывается эр скобка закрывается ,A(\mathbf {r} )
1061,841,игрик равно икс в три второй степени ,"y=x^{\frac {3}{2}}\,"
1062,842,эф джи,\mathbf {F_{g}} 
1063,843,пэ скобка открывается икс скобка закрывается точка ,P(x).
1064,844,пи дэ,\pi d
1065,845,двойная скобка открывается а двойная скобка закрывается в минус первой степени ,(\{{\mathfrak {a}}\})^{-1}
1066,846,тэ,{\hat {T}}
1067,847,вэ,\mathbf {V} 
1068,848,а е о в степени икс вэ,a\in O_{v}^{\times }
1069,849,пусто,f=1/\tau 
1070,1130,эф два,F_{2}
1071,1131,вэ,v
1072,1132,множество х один икс энное,"x_{1},\ldots ,x_{n},"
1073,1133,в скобках эф икс игрек равно в скобках эф икс умножить на игрек,"(f\,x\,y)=((f\,x)\,y)"
1074,1134,эф по лямбда,f_{\lambda }
1075,1135,эс равно эр фи,s=r\theta .
1076,1136,эф умножить на скобки четыре умножить на скобки эл плюс ноль целых четыре десятых дэ равно вэ,{f(4(L+0.4d))}=v
1077,1137,эл по е ку равно эл плюс о целых семьдесят пять сотых дэ,L_{eq}=L+0.75d
1078,1138,эта разделить на ка стремится зэд от а,"\eta \colon K\to Z(A),"
1079,1139,пэ не равно пустому набору,P\neq \emptyset .
1080,420,икс запятая игрик е джи точка ,"x,y\in G."
1081,421,и плюс а дэ о запятая ,"I+A\,d\theta ~,"
1082,422,дэ в квадрате цэ один эн,d^{2^{c'n}}
1083,423,эн плюс эм равно эм плюс эн ,n+m=m+n
1084,424,эйч,H
1085,425,эф е эль в квадрате скобка открывается тэ запятая дэ ню скобка закрывается ,"f\in L^{2}(T,d\mu )"
1086,426,кэ вэ е зэт,k_{v}\in \mathbb {Z} 
1087,427,кэ скобка открывается пэ скобка закрывается ,K(P)
1088,428,скобка открывается икс скобка закрывается вэ,|x|_{v}
1089,429,пэ,p
1090,990,е подмножество е от пэ ,E\subset E(P)
1091,991, пэ от минус трех меньше нуля,P(-3)<0
1092,992,эн факториал,n!
1093,993,эф по и минус один,F_{i-1}
1094,994,пэ вэ,{\mathfrak {p}}_{v}.
1095,995,множестов а бэ,"[a,b]"
1096,996,эр от эс больше единицы,"\Re (s)>1,"
1097,997,множество пустое,\{\emptyset \}
1098,998,альфа,"\alpha ,"
1099,999,а по вэ умножить на а по вэ,A_{v}\times A_{v}.
1100,600,лямбда сумма эр больше ноля,\lambda \in \mathbb {R} _{>0}
1101,601,эс множество сэ,s\in \mathbb {C} 
1102,602,от минус бесконечности до а,"(-\infty ,a)"
1103,603,ка множества ка в икс,k\in K^{\times }.
1104,604,о меньше сэ и меньше или равно сэ меньше бесконечности,0<c\leq C<\infty .
1105,605,эр в лямбда джи множество эр,"r_{\lambda ,j}\in R"
1106,606,произведение от 1 до ноля и ноля до одного равно от ноля к нолю,"(1,0)\cdot (0,1)=(0,0)"
1107,607,лим икс в иксе где икс стремится к нолю равно еденице,\lim _{x\to 0^{+}}x^{x}=1
1108,608,ку в пэ,\mathbf {Q} _{p}
1109,609,ку,Q
1110,860,икс принадлежит ка,x\in K
1111,861,два пи,2\pi 
1112,862,эн плюс ноль равно эн равно ноль плюс эн,n+0=n=0+n.
1113,863,период бесконечность,\|\cdot \|_{\infty }
1114,864,зэд по ка один равно и,"Z_{k,1}=i"
1115,865,джи разделить на у стремится к цэ ,g:U\to \mathbb {C} 
1116,866,вектор икс,{\vec {x}}
1117,867,зэд в квадрате меньше единицы минус игрек в квадрате,z^{2}<1-y^{2}
1118,868,игрек в зэд,y^{z}
1119,869,эл ка эм от множество эл эм эн,"\operatorname {lcm} (l,m,n)"
1120,890,цэ равно два бэ,c=2b
1121,891,выборочное среднее из множества из набора рациональных чисел,{\overline {\mathbb {Q} }}
1122,892,примерно,\backsim 
1123,893,цэ по эн ка,"C_{n,k}"
1124,894,перпендикуляр,\vdash 
1125,895,у по эн плюс один равно а у по эн плюс бэ,u_{n+1}=au_{n}+b
1126,896,эф от икс равно единица деленная на единица минус два икс,f(x)={\frac {1}{1-2x}}.
1127,897,и равно эр квадрат эм,I=r^{2}m
1128,898,икс равно единице,x=1.
1129,899,ка по игрек в степени и равно ка по игрек разделить на эм,k_{y}^{i}={\frac {k_{y}}{M}}
1130,190,бэ,\mathbf {b} 
1131,191,пи дробь два плюс два эн пи,{\frac {\pi }{2}}+2n\pi 
1132,192,дэ равно минус один ,d=-1
1133,193,икс икс игрик икс игрик ,XXYXY
1134,194,е эм,e_{m}
1135,195,ка е ка,k\in K
1136,196,дабл вэ дробь вэ точка ,w|v.
1137,197,скобка открывается бетта скобка закрывается меньше или равно гамма вэ,|\beta |\leq \delta _{v}
1138,198,гамма тэ,\delta t
1139,199,эс два эн,S_{2n}
1140,1210,зет на зет,"z\cdot {\overline {z}},"
1141,1211,а в икс вэ,"A_{v}^{\times },"
1142,1212,пэ равно эм на вэ,\mathbf {p} =m\mathbf {v} 
1143,1213,зет равно эр на е ай тета,"z=re^{i\theta },"
1144,1214,эф два от вэ,{\hat {f}}_{2}(\omega )
1145,1215,множество произведений вэ,"|\cdot |_{v},"
1146,1216,эс два в эм меньше или равно эль и меньше или равно эс два эм в плюс первой,S_{2m}\leq L\leq S_{2m+1}
1147,1217,множество одного,"(1,1,\ldots )."
1148,1218,а равно а в доблью на дабалью эпсилон ай а эль,a'=(a'_{w})_{w}\in I_{L}
1149,1219,а в ноль,A_{0}
1150,630,вэ перпендикуляр равно вэ синус скобка открывается о скобка закрывается ,v_{\perp }=v\sin(\theta )
1151,631,эль е кью,L_{eq}
1152,632,е один запятая многоточие запятая е эн,"e_{1},\ldots ,e_{n}"
1153,633,ка умножить на а стремится к а,K\times A\to A
1154,634,о вэ двоеточие ,{\widetilde {O_{v}}}:
1155,635,эн икс равно а,nx=a
1156,636,и минус один ,I-1
1157,637,синус в квадрате а плюс косинус в квадрате а равно один,\sin ^{2}A+\cos ^{2}A=1\ 
1158,638,один запятая минус один запятая минус пять запятая одиннадцать многоточие ,"1,-1,3,-5,11,\ldots "
1159,639,эль вэ точка,L_{v}.
1160,870,фи равно два пи,\theta =2\pi 
1161,871,ку по угрек,k_{y}
1162,872,джи а и умножить на эф деленная на ка,\operatorname {Gal} (F/K)
1163,873,множество ка джи,"(k,j)"
1164,874,джи,{\widehat {G}}
1165,875,е в эн,\mathbb {E} ^{n}
1166,876,эр е альфа больше минус единицы,\operatorname {Re} \alpha >-1
1167,877,тэ два два,"T_{2,2}"
1168,878,е умножить на множество эн ка равно е умножить на множество эн ка минус один плюс е умножить на множество эн минус один эн минус,"E(n,k)=E(n,k-1)+E(n-1,n-k)"
1169,879,множество игрек зэд,"(y,z)"
1170,880,эф от пяти,{\hat {f}}(5)
1171,881,плюс минус бесконечность,\pm \infty 
1172,882,эйдж,h
1173,883,зэд по эм,\mathbb {Z} _{m}
1174,884,единица деленная на два пи в квадрате,{\frac {1}{(2\pi )^{2}}}
1175,885,эпсилон принадлежит ка,"\xi \in K,"
1176,886,эс равно эр фи,"s=r\theta \,"
1177,887,а по вэ равно пи по вэ в ка по вэ,\alpha _{v}:=\pi _{v}^{k_{v}}
1178,888,эф по пэ в эр от тэ,\mathbb {F} _{p^{r}}(t)
1179,889,эн больше или равно единице,n\geq 1
1180,1000,эф по вэ разделить на ка по вэ стремится к цэ,f_{v}:K_{v}\to \mathbb {C} 
1181,1001,и по ка в первой разделить на ка в икс,I_{K}^{1}/K^{\times }.
1182,1002,десять минус пять и,10-5i
1183,1003,множество  зэд плюс,"(\mathbb {Z} ,+)"
1184,1004,десять в бэ,10^{b}
1185,1005,а по ку,\mathbf {A} _{\mathbf {Q} }
1186,1006,омега равно вэ на эр,\omega ={\frac {v}{r}}.
1187,1007,эф от икс равно икс квадрат,f(x)=x^{2}
1188,1008,икс комплексно сопряженный,{\bar {x}}
1189,1009,джи от омега,G(\omega )
1190,430,эф минус джи,F-G
1191,431,эф от минус четырех эф от ноль плюс четыре равно минус единица,"f(-4,f(0,+4))=-1"
1192,432,интеграл от эф от тэ дэ тэ,\int _{-\infty }^{b}f(t)\;dt
1193,433,производная эм вторая производная эм,"M',M''"
1194,434,цэ по ка,{}^{n}C_{k}
1195,435,период,\cdot 
1196,436,аш и ка,H\oplus K
1197,437,вэ следует пэ по вэ,v\mapsto {\mathfrak {p}}_{v}
1198,438,сумма а по эн,\sum a_{n}
1199,439,ка первое плюс один ка первое плюс два ка второе,"k_{1}+1,k_{1}+2,\ldots ,k_{2}"
1200,230,а в пэ эль на сэ эпсилон зет в пэ,a_{p}/c\in \mathbf {Z} _{p}
1201,231,произведение ай сэ эм на четыре от шести,"\operatorname {lcm} (4,6)"
1202,232,от дэ один к еденице до дэ в ка ка,"d_{1,1},\ldots ,d_{k,k}"
1203,233,множество эн в нулевой где эн равно одному,\sum _{n=1}^{\infty }n^{0}
1204,234,одна вторая,{\frac {1}{2}}.
1205,235,ай равно икс,i=x
1206,236,о на произведение логарифмоф суммы а и бэ в квадрате,O((\log a+\log b)^{2})
1207,237,логин эн плюс один минус логин эн,\log(n+1)-\log n
1208,238,дабалью от эф,"w|v,"
1209,239,эс эпсилон зет,s\in \mathbb {Z} 
1210,1170,пи эр квадрат,\pi r^{2}
1211,1171,ка,\kappa 
1212,1172,рэ умножить на скобки икс плюс е,p(x+e)
1213,1173,эпсилон,\epsilon 
1214,1174,предел эф от эф от икс равен одному где икс стремится к а,\lim _{x\to a}f(f(x))=1
1215,1175,цэ по эн,c_{n}
1216,1176,вэ,V.
1217,1177,эн по эф и,N_{f_{i}}
1218,1178,е в джи эф примерно равно один плюс джи эф,e^{j\phi }\approx 1+j\phi 
1219,1179,модуль икс,|x|
1220,800,вэ бесконечность,v\nmid \infty 
1221,801,ка по тэ,k_{T}
1222,802,период ноль примерно период один,|\cdot |_{0}\sim |\cdot |_{1}
1223,803,ноль минус один равно минус скобки единица минус ноль,0-1=-(1-0)
1224,804,а равно а один плюс и а два,a=a_{1}+ia_{2}
1225,805,а по пэ разделить на цэ принадлежит ку по эр,a_{p}/c\in \mathbf {Q} _{p}
1226,806,пэ первое,p_{1}
1227,807,фи по эн,\varphi (n)
1228,808,эс,s
1229,809,а,"A,"
1230,670,эф равно ку модуль а,F=\mathbb {Q} [\alpha ]
1231,671,период бесконечность,|\cdot |_{\infty }
1232,672,игрек по и равно эм игрек по о,"y_{i}=My_{o}\,"
1233,673,эм меньше эн,m<n
1234,674,примерно равно лдна вторая цэ,\approx {\frac {1}{2}}c
1235,675,эн больше нуля,N>0
1236,676,ку по вэ,{\mathcal {O}}_{\nu }
1237,677,бэ,b
1238,678,дэ в икс икс,d^{\times }x
1239,679,сумма минус два в ка ка не равно нулю,\sum _{k=0}^{n}(-2)^{k}
1240,20,множество а,(a).
1241,21,вэ умножить на производную а по вэ равно нулю,v(\alpha '_{v})=0
1242,22,тэ равно единице,t=1
1243,23,эф один,F_{1}
1244,24,джи равно нулю,G=0
1245,25,о по вэ,O_{v}
1246,26,модуль икс равен минус икс,|x|=-x
1247,27,два пи эр,2\pi r
1248,28,а умножить на а,"A\times A,"
1249,29,эф от ка один плюс ка два,f(k_{1}+k_{2})
1250,790,игрек тэ равно джи на тэ плюс произведение ай на вэ от тэ,"Y(t)=G(t)+iB(t),"
1251,791,вай от ай,y_{i}
1252,792,эн равно логарифм а плюс бэ,"n=\log a+\log b,"
1253,793,альфа от пэ минус эр от пэ меньше или равно одному,|\alpha _{p}-r_{p}|\leq 1.
1254,794,эф в а от эф равняется эф,{\mathcal {F}}^{4}(f)=f
1255,795,произведение икс на игрек,x\cdot y
1256,796,пэ от тэ равно модулю произведения эр на ку от тэ,"p(t)=[R*Q](t),"
1257,797,эф не суммарно пэ в нулевой,"v\notin P_{0},"
1258,798,косинус сэ,\cos c
1259,799,два ка в зет,2k_{z}
1260,0,синус икс минус пи,\sin(x)-\pi 
1261,1,эс равно единица плюс два эс,s=1+2s.
1262,2,модуль нуля равно ноль,|0|=0
1263,3,множество а по эн,\{a_{n}\}
1264,4,эф от о принадлежит бета,f(O)\in {\mathcal {B}}
1265,5,эйдж,\hbar 
1266,6,пэ квадрат,p^{2}
1267,7,и эн вэ от и икс,\operatorname {inv} (x)
1268,8,фи квадрат,\theta ^{2}
1269,9,ка  по икс ка по игрек,"~(k_{x},k_{y})"
1270,410,цэ равно эф от а,C=F(a)
1271,411,два в тэ три в у плюс один,2^{t}3^{u}+1
1272,412,у пересекается с ку равно нулю,U\cap \mathbb {Q} =\{0\}.
1273,413,а по вэ в икс,\alpha _{v}^{\times }
1274,414,дзета,\zeta 
1275,415,эл икс эф,LXF
1276,416,джи цэ дэ от икс игрек,"\gcd(x,y)"
1277,417,эф джи принадлежат эл квадрат от тэ дэ мю,"f,g\in L^{2}(T,d\mu )"
1278,418,эл по икс эл по игрек не равео эл по игрек эл по икс,L_{x}L_{y}\neq L_{y}L_{x}
1279,419,пять плюс четыре плюс два равно одиннадцати,5+4+2=11
1280,460,икс в квадрате плюс игрек в квадрате плюс зет в квадрате минус один равно ноль,"x^{2}+y^{2}+z^{2}-1=0.\,"
1281,461,эф скобка открывается икс скобка закрывается принадлежит зет квадратная скобка открывается икс квадратная скобка закрывается,f(x)\in \mathbb {Z} [x]
1282,462,дэ а деленное на дэ тэ равно дабл ю умножить на а,{\frac {dA}{dt}}=W\cdot A.
1283,463,косинус бетта а,\cos \delta _{A}
1284,464,и в минусовой степени,{\bar {I}}
1285,465,пэ не принадлежит эф,p\notin F.
1286,466,а запятая бэ запятая цэ,"a,b,c"
1287,467,икс,x
1288,468,скобка открывается многоточие скобка закрывается,{\widehat {(\dots )}}
1289,469,эс,\mathbf {s} 
1290,360,цэ и по ка,\operatorname {Cl} _{K}.
1291,361,десять плюс минус пять и,10\pm 5i
1292,362,пэ по бесконечности объединение с множеством вэ,P_{\infty }\cup \{v\}.
1293,363,альфа по вэ равно одному,\alpha _{v}=1
1294,364,эс равно пи эр,s=\pi r.
1295,365,а по вэ,A_{v}
1296,366,цэ по эн,C_{n}
1297,367,фи эф равно эф,{\mathcal {F}}f:={\hat {f}}
1298,368,вэ по два эм,B_{2m}
1299,369,ку,\mathbf {Q} 
1300,1220,абсолютное число ка равно единице,|k|=1
1301,1221,пэ умножить на тэ равно тэ минус зэт,p(t)=t-z
1302,1222,рэ равно рэ умножить на тхэта,r=r(\theta )
1303,1223,эр икс,r_{x}
1304,1224,множество от а один до а эн,"a_{1},\ldots ,a_{n}"
1305,1225,у,\mathbf {u} 
1306,1226,один минус два плюс четыре минус восемь и так далее равно один разделить на три,1-2+4-8\ldots ={\frac {1}{3}}
1307,1227,эм эн,"m,n"
1308,1228,а эм,a_{m}
1309,1229,ка большое равно ку рациональное число,K=\mathbb {Q} 
1310,110,ка,k
1311,111,модуль эф от икс минус эл меньше кси,|f(x)-L|<\varepsilon 
1312,112,умножить,*
1313,113,ку разделить на зэд,\mathbb {Q} /\mathbb {Z} 
1314,114,а больше нуля,a>0
1315,115,а по пэ принадлежит зэд по пэ,a_{p}\in \mathbb {Z} _{p}
1316,116,мю в лямбде равно ка,\mu ^{\lambda }=\kappa 
1317,117,игрек равно эф от тэ,y=f(t).
1318,118,и принадлежит зэд,l\in \mathbb {Z} 
1319,119,производная джи от икс не равна нулю,g'(x)\neq 0
1320,330,у от вэ равно о в икс от вэ,U_{v}=O_{v}^{\times }
1321,331,а один,a_{1}
1322,332,альфа,{\mathcal {A}}
1323,333,эф от трех на вэ,{\hat {f}}_{3}(\omega )
1324,334,суммарность икс от эн на эн эпсилон эн,\{x_{n}\}_{n\in \mathbb {N} }
1325,335,произведение синусов бэ сэ а,\sin b\sin c\sin A
1326,336,ка стремится к а в ка,"K\to \mathbb {A} _{K},"
1327,337,эф от вэ равно одному от о эф,f_{v}=\mathbf {1} _{O_{v}}
1328,338,бэ один,b_{1}
1329,339,помноженное на еденицу,\star 1
1330,770,ка стремится к эл,K\to L.
1331,771,е в степени и омега тэ,e^{i\omega t}
1332,772,вэ,"v,"
1333,773,а по ка,"\mathbb {A} _{K},"
1334,774,ка не меньше или равно ка,\kappa ^{+}\nleq \kappa .
1335,775,цэ,\mathbb {C} 
1336,776,эм равно эн,m=n
1337,777,икс в игрек зэд равно икс в игрек в зэд,{x^{y}}^{z}=(x^{y})^{z}
1338,778,у по лямбде и,"u_{\lambda ,i}"
1339,779,а икс квадрат плюс бэ икс квадрат плюс цэ равно нулю,"ax^{2}+bx+c=0,"
